Tools	Port 1: NDI 8700449  s/n:3532DC02	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	Port 2: NDI 8700339  s/n:34801403	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz
2	Port 1: NDI 8700449  s/n:3532DC02	1028402500	1	OK	0.8654894	-0.2481008	-0.3941028	-0.1845457	-157.524	145.137	-1144.481	0.255776	4	OK	-157.595	145.144	-1144.723	OK	-150.331	200.07	-1141.259	OK	-210.077	196.333	-1094.262	OK	-196.532	136.944	-1114.203	Port 2: NDI 8700339  s/n:34801403	1028402500	1	OK	0.5798789	0.7462376	-0.2709331	0.1829348	-46.232	-35.804	-1244.784	0.1666181	4	OK	-46.354	-35.67	-1244.798	OK	-65.344	-80.559	-1233.592	OK	-49.966	-120.746	-1267.778	OK	-20.547	-66.867	-1289.179
2	Port 1: NDI 8700449  s/n:3532DC02	1028402503	1	OK	0.8653412	-0.248684	-0.3939343	-0.1848152	-157.352	145.384	-1144.164	0.2446548	4	OK	-157.415	145.393	-1144.393	OK	-150.1	200.312	-1140.999	OK	-209.835	196.675	-1093.964	OK	-196.371	137.253	-1113.878	Port 2: NDI 8700339  s/n:34801403	1028402503	1	OK	0.5801218	0.7460206	-0.2713376	0.1824499	-46.286	-35.754	-1244.367	0.1628359	4	OK	-46.412	-35.617	-1244.357	OK	-65.461	-80.473	-1233.169	OK	-50.137	-120.697	-1267.335	OK	-20.654	-66.871	-1288.783
2	Port 1: NDI 8700449  s/n:3532DC02	1028402506	1	OK	0.8652523	-0.249329	-0.3937183	-0.1848228	-157.029	145.621	-1143.732	0.2528996	4	OK	-157.093	145.629	-1143.971	OK	-149.745	200.544	-1140.619	OK	-209.452	197.01	-1093.564	OK	-196.03	137.546	-1113.412	Port 2: NDI 8700339  s/n:34801403	1028402506	1	OK	0.581272	0.7452169	-0.2713149	0.1821067	-46.214	-35.82	-1243.771	0.1628792	4	OK	-46.333	-35.685	-1243.771	OK	-65.431	-80.501	-1232.459	OK	-50.195	-120.806	-1266.515	OK	-20.664	-67.069	-1288.125
2	Port 1: NDI 8700449  s/n:3532DC02	1028402509	1	OK	0.8654461	-0.2499464	-0.3931358	-0.1843205	-156.656	145.686	-1143.172	0.2391989	4	OK	-156.718	145.693	-1143.4	OK	-149.363	200.624	-1140.153	OK	-209.01	197.116	-1092.966	OK	-195.618	137.64	-1112.783	Port 2: NDI 8700339  s/n:34801403	1028402509	1	OK	0.5822491	0.7447022	-0.2711929	0.1812708	-46.105	-35.983	-1243.162	0.1566776	4	OK	-46.227	-35.851	-1243.154	OK	-65.376	-80.618	-1231.734	OK	-50.247	-121.001	-1265.754	OK	-20.663	-67.337	-1287.528
2	Port 1: NDI 8700449  s/n:3532DC02	1028402512	1	OK	0.8652727	-0.2502756	-0.3930869	-0.1847918	-156.515	145.808	-1142.75	0.2524743	4	OK	-156.583	145.816	-1142.989	OK	-149.162	200.738	-1139.73	OK	-208.812	197.313	-1092.581	OK	-195.484	137.813	-1112.355	Port 2: NDI 8700339  s/n:34801403	1028402512	1	OK	0.5822904	0.7445655	-0.2716677	0.1809883	-46.198	-35.989	-1242.764	0.1639121	4	OK	-46.319	-35.854	-1242.764	OK	-65.509	-80.601	-1231.348	OK	-50.432	-121.002	-1265.374	OK	-20.794	-67.371	-1287.11
2	Port 1: NDI 8700449  s/n:3532DC02	1028402515	1	OK	0.8652418	-0.250633	-0.3929509	-0.1847414	-156.385	145.843	-1142.468	0.2538141	4	OK	-156.448	145.854	-1142.712	OK	-149.015	200.767	-1139.485	OK	-208.652	197.393	-1092.31	OK	-195.347	137.881	-1112.05	Port 2: NDI 8700339  s/n:34801403	1028402515	1	OK	0.5825393	0.7444076	-0.2716011	0.1809366	-46.132	-36.04	-1242.384	0.1671184	4	OK	-46.257	-35.901	-1242.39	OK	-65.445	-80.645	-1230.927	OK	-50.385	-121.065	-1264.953	OK	-20.738	-67.452	-1286.716
2	Port 1: NDI 8700449  s/n:3532DC02	1028402518	1	OK	0.8651118	-0.250601	-0.3931169	-0.1850402	-156.375	145.85	-1142.303	0.2418059	4	OK	-156.439	145.857	-1142.53	OK	-148.983	200.775	-1139.317	OK	-208.645	197.416	-1092.157	OK	-195.358	137.899	-1111.923	Port 2: NDI 8700339  s/n:34801403	1028402518	1	OK	0.5825801	0.744211	-0.2719949	0.1810228	-46.161	-36.093	-1242.155	0.1615139	4	OK	-46.277	-35.963	-1242.168	OK	-65.513	-80.688	-1230.705	OK	-50.451	-121.119	-1264.703	OK	-20.761	-67.519	-1286.462
2	Port 1: NDI 8700449  s/n:3532DC02	1028402521	1	OK	0.8649012	-0.250353	-0.3933758	-0.1858082	-156.475	145.9	-1142.196	0.2519562	4	OK	-156.544	145.913	-1142.435	OK	-149.024	200.812	-1139.148	OK	-208.744	197.481	-1092.073	OK	-195.497	137.964	-1111.853	Port 2: NDI 8700339  s/n:34801403	1028402521	1	OK	0.5821609	0.7443559	-0.2724227	0.181132	-46.296	-36.012	-1242.102	0.1605377	4	OK	-46.415	-35.885	-1242.112	OK	-65.669	-80.614	-1230.709	OK	-50.592	-121.009	-1264.725	OK	-20.865	-67.407	-1286.42
2	Port 1: NDI 8700449  s/n:3532DC02	1028402524	1	OK	0.8649388	-0.2499653	-0.3935078	-0.1858759	-156.483	145.838	-1142.056	0.2575808	4	OK	-156.555	145.848	-1142.299	OK	-149.051	200.749	-1138.96	OK	-208.783	197.37	-1091.922	OK	-195.51	137.872	-1111.73	Port 2: NDI 8700339  s/n:34801403	1028402524	1	OK	0.5815696	0.7447957	-0.2724701	0.1811522	-46.19	-35.937	-1242.073	0.1635339	4	OK	-46.308	-35.802	-1242.084	OK	-65.548	-80.554	-1230.744	OK	-50.441	-120.916	-1264.829	OK	-20.742	-67.265	-1286.421
2	Port 1: NDI 8700449  s/n:3532DC02	1028402527	1	OK	0.8649914	-0.2493807	-0.3935972	-0.186227	-156.538	145.872	-1141.972	0.2527592	4	OK	-156.607	145.881	-1142.21	OK	-149.104	200.78	-1138.806	OK	-208.86	197.345	-1091.794	OK	-195.583	137.872	-1111.682	Port 2: NDI 8700339  s/n:34801403	1028402527	1	OK	0.581079	0.7450225	-0.2728706	0.1811915	-46.204	-35.82	-1242.108	0.164228	4	OK	-46.326	-35.679	-1242.099	OK	-65.582	-80.441	-1230.853	OK	-50.458	-120.776	-1264.956	OK	-20.731	-67.112	-1286.485
2	Port 1: NDI 8700449  s/n:3532DC02	1028402530	1	OK	0.8649489	-0.2491038	-0.3936426	-0.186698	-156.671	146.153	-1141.829	0.2483386	4	OK	-156.736	146.161	-1142.064	OK	-149.208	201.054	-1138.619	OK	-208.986	197.619	-1091.628	OK	-195.736	138.151	-1111.568	Port 2: NDI 8700339  s/n:34801403	1028402530	1	OK	0.5809474	0.7449511	-0.2733729	0.1811496	-46.41	-35.57	-1241.993	0.165389	4	OK	-46.529	-35.437	-1241.993	OK	-65.824	-80.179	-1230.771	OK	-50.718	-120.512	-1264.869	OK	-20.941	-66.863	-1286.353
2	Port 1: NDI 8700449  s/n:3532DC02	1028402533	1	OK	0.8653228	-0.2492165	-0.3928594	-0.1864647	-156.688	146.462	-1141.411	0.2436862	4	OK	-156.751	146.471	-1141.643	OK	-149.215	201.366	-1138.218	OK	-208.918	197.912	-1091.107	OK	-195.706	138.453	-1111.078	Port 2: NDI 8700339  s/n:34801403	1028402533	1	OK	0.5818071	0.7445053	-0.2735802	0.1799063	-46.753	-35.486	-1241.729	0.1674007	4	OK	-46.87	-35.345	-1241.729	OK	-66.248	-80.04	-1230.421	OK	-51.3	-120.444	-1264.511	OK	-21.444	-66.885	-1286.101
2	Port 1: NDI 8700449  s/n:3532DC02	1028402536	1	OK	0.8647394	-0.249736	-0.393561	-0.186996	-156.896	147.026	-1140.976	0.2574805	4	OK	-156.97	147.039	-1141.214	OK	-149.375	201.917	-1137.807	OK	-209.143	198.599	-1090.831	OK	-195.961	139.093	-1110.7	Port 2: NDI 8700339  s/n:34801403	1028402536	1	OK	0.5835978	0.7433713	-0.2744715	0.1774205	-47.448	-35.686	-1241.488	0.1645155	4	OK	-47.569	-35.557	-1241.483	OK	-67.148	-80.112	-1230.025	OK	-52.542	-120.659	-1264.041	OK	-22.446	-67.32	-1285.882
2	Port 1: NDI 8700449  s/n:3532DC02	1028402539	1	OK	0.8642841	-0.2505491	-0.3940169	-0.1870531	-157.281	147.457	-1140.729	0.2590313	4	OK	-157.353	147.466	-1140.973	OK	-149.722	202.351	-1137.648	OK	-209.54	199.155	-1090.719	OK	-196.378	139.602	-1110.469	Port 2: NDI 8700339  s/n:34801403	1028402539	1	OK	0.5853553	0.7423504	-0.2750552	0.1749848	-48.155	-36.033	-1241.24	0.1631872	4	OK	-48.277	-35.898	-1241.247	OK	-68.04	-80.329	-1229.574	OK	-53.741	-121.04	-1263.604	OK	-23.459	-67.89	-1285.649
2	Port 1: NDI 8700449  s/n:3532DC02	1028402542	1	OK	0.8641711	-0.2514529	-0.3936266	-0.1871838	-157.628	147.644	-1140.724	0.2684254	4	OK	-157.697	147.654	-1140.987	OK	-149.995	202.533	-1137.721	OK	-209.789	199.468	-1090.746	OK	-196.712	139.879	-1110.403	Port 2: NDI 8700339  s/n:34801403	1028402542	1	OK	0.5867621	0.7413322	-0.2756875	0.1735889	-49.005	-36.393	-1241.057	0.1619189	4	OK	-49.126	-36.253	-1241.069	OK	-69.037	-80.593	-1229.238	OK	-54.935	-121.428	-1263.226	OK	-24.499	-68.447	-1285.438
2	Port 1: NDI 8700449  s/n:3532DC02	1028402545	1	OK	0.8637943	-0.2523113	-0.393549	-0.1879298	-158.203	147.795	-1140.936	0.2580388	4	OK	-158.263	147.806	-1141.192	OK	-150.455	202.662	-1137.998	OK	-210.27	199.791	-1091.01	OK	-197.312	140.147	-1110.627	Port 2: NDI 8700339  s/n:34801403	1028402545	1	OK	0.5877462	0.7402805	-0.2766591	0.1732016	-49.926	-36.711	-1240.847	0.1582774	4	OK	-50.046	-36.575	-1240.856	OK	-70.09	-80.826	-1228.943	OK	-56.086	-121.777	-1262.831	OK	-25.491	-68.924	-1285.155
2	Port 1: NDI 8700449  s/n:3532DC02	1028402548	1	OK	0.8632057	-0.2528691	-0.3943653	-0.1881734	-158.946	147.777	-1141.041	0.2558334	4	OK	-159.016	147.783	-1141.285	OK	-151.168	202.651	-1138.165	OK	-211.06	199.87	-1091.283	OK	-198.108	140.201	-1110.799	Port 2: NDI 8700339  s/n:34801403	1028402548	1	OK	0.5881648	0.7395509	-0.2775198	0.1735204	-50.757	-36.978	-1240.632	0.1643932	4	OK	-50.877	-36.841	-1240.645	OK	-70.992	-81.046	-1228.706	OK	-57.007	-122.063	-1262.514	OK	-26.311	-69.291	-1284.844
2	Port 1: NDI 8700449  s/n:3532DC02	1028402551	1	OK	0.8628222	-0.2529992	-0.3949326	-0.1885668	-159.723	147.9	-1141.035	0.2455842	4	OK	-159.784	147.906	-1141.275	OK	-151.907	202.77	-1138.178	OK	-211.882	200.043	-1091.356	OK	-198.94	140.357	-1110.851	Port 2: NDI 8700339  s/n:34801403	1028402551	1	OK	0.5881075	0.7391473	-0.2785129	0.1738432	-51.551	-37.016	-1240.388	0.1676608	4	OK	-51.671	-36.875	-1240.395	OK	-71.86	-81.052	-1228.502	OK	-57.872	-122.104	-1262.26	OK	-27.074	-69.372	-1284.545
2	Port 1: NDI 8700449  s/n:3532DC02	1028402554	1	OK	0.8627975	-0.2528891	-0.3948302	-0.1890414	-160.141	148.312	-1140.629	0.2587433	4	OK	-160.201	148.319	-1140.885	OK	-152.288	203.167	-1137.724	OK	-212.265	200.473	-1090.934	OK	-199.363	140.781	-1110.444	Port 2: NDI 8700339  s/n:34801403	1028402554	1	OK	0.5890241	0.7383183	-0.2793777	0.1728722	-52.295	-36.954	-1239.9	0.1657541	4	OK	-52.413	-36.81	-1239.909	OK	-72.743	-80.909	-1227.927	OK	-58.902	-122.055	-1261.643	OK	-27.945	-69.452	-1284.029
2	Port 1: NDI 8700449  s/n:3532DC02	1028402557	1	OK	0.8627855	-0.2527658	-0.3949662	-0.1889772	-160.499	149.147	-1139.509	0.2662592	4	OK	-160.57	149.154	-1139.77	OK	-152.661	204.006	-1136.588	OK	-212.649	201.289	-1089.831	OK	-199.718	141.603	-1109.329	Port 2: NDI 8700339  s/n:34801403	1028402557	1	OK	0.591408	0.7368126	-0.2801346	0.169907	-53.17	-36.89	-1239.132	0.1673552	4	OK	-53.284	-36.755	-1239.151	OK	-73.833	-80.68	-1226.932	OK	-60.409	-122.015	-1260.552	OK	-29.221	-69.68	-1283.241
