Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	Port 1: NDI 8700339  s/n:34801403	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	1028352070	1		0.7478724	-0.1247506	-0.6372313	0.1380595	-16.914	-46.211	-1237.248	0.2204179	4	OK	-169.952	-38.311	-1195.519	OK	-219.238	-37.777	-1187.141	OK	-269.702	-13.993	-1188.806	Used OOV	-302.071	-60.204	-1165.145	Port 1: NDI 8700339  s/n:34801403	1028352070	1	OK	0.4547296	-0.1319967	-0.8058464	-0.3555411	189.808	213.481	-1231.391	0.1163952	4	OK	189.959	213.479	-1231.381	OK	178.814	262.235	-1232.099	OK	133.618	274.541	-1260.789	OK	140.111	209.919	-1264.958
2	Port 2: NDI 8700340  s/n:34802401	1028352073	1		0.7492479	-0.1257829	-0.6359962	0.1353333	-17.472	-47.968	-1238.384	0.2185271	4	OK	-170.343	-39.224	-1196.235	OK	-219.603	-38.398	-1187.729	OK	-269.94	-14.304	-1189.213	Used OOV	-302.52	-60.37	-1165.554	Port 1: NDI 8700339  s/n:34801403	1028352073	1	OK	0.454929	-0.1317464	-0.8057954	-0.3554943	189.847	213.498	-1231.199	0.1147536	4	OK	189.995	213.501	-1231.19	OK	178.829	262.25	-1231.892	OK	133.621	274.528	-1260.568	OK	140.141	209.911	-1264.761
2	Port 2: NDI 8700340  s/n:34802401	1028352076	1		0.7488552	-0.1252968	-0.6368731	0.1338252	-17.739	-48.83	-1239.103	0.2112374	4	OK	-170.686	-40.001	-1197.236	OK	-219.965	-39.14	-1188.85	OK	-270.266	-14.959	-1190.359	Used OOV	-302.947	-61.063	-1166.891	Port 1: NDI 8700339  s/n:34801403	1028352076	1	OK	0.45537	-0.1321338	-0.805852	-0.3546566	189.815	213.547	-1231.12	0.1157898	4	OK	189.959	213.545	-1231.117	OK	178.759	262.289	-1231.887	OK	133.532	274.51	-1260.521	OK	140.085	209.884	-1264.608
2	Port 2: NDI 8700340  s/n:34802401	1028352079	1		0.7496366	-0.1244149	-0.6364384	0.1323328	-18.093	-49.521	-1240.398	0.238627	4	OK	-170.972	-40.61	-1198.3	OK	-220.222	-39.707	-1189.761	OK	-270.494	-15.46	-1191.169	Used OOV	-303.213	-61.58	-1167.808	Port 1: NDI 8700339  s/n:34801403	1028352079	1	OK	0.4555943	-0.1317838	-0.8058426	-0.3545203	189.825	213.486	-1231.025	0.1124499	4	OK	189.969	213.477	-1231.013	OK	178.732	262.225	-1231.789	OK	133.48	274.405	-1260.402	OK	140.093	209.788	-1264.512
2	Port 2: NDI 8700340  s/n:34802401	1028352082	1		0.7497074	-0.1238211	-0.6368402	0.1305439	-18.385	-50.179	-1241.199	0.2475721	4	OK	-171.278	-41.126	-1199.203	OK	-220.538	-40.152	-1190.674	OK	-270.76	-15.822	-1192.06	Used OOV	-303.586	-61.948	-1168.881	Port 1: NDI 8700339  s/n:34801403	1028352082	1	OK	0.4555314	-0.1318005	-0.8059608	-0.354326	189.805	213.424	-1230.976	0.1132586	4	OK	189.952	213.417	-1230.965	OK	178.709	262.157	-1231.756	OK	133.453	274.321	-1260.392	OK	140.076	209.707	-1264.468
2	Port 2: NDI 8700340  s/n:34802401	1028352085	1		0.7495885	-0.1232924	-0.6370865	0.1305252	-18.347	-50.343	-1241.632	0.2479419	4	OK	-171.263	-41.443	-1199.688	OK	-220.526	-40.507	-1191.176	OK	-270.773	-16.204	-1192.565	Used OOV	-303.563	-62.39	-1169.434	Port 1: NDI 8700339  s/n:34801403	1028352085	1	OK	0.4557034	-0.1315809	-0.8058678	-0.3543981	189.776	213.309	-1230.839	0.1140286	4	OK	189.924	213.303	-1230.828	OK	178.662	262.034	-1231.596	OK	133.392	274.2	-1260.222	OK	140.043	209.589	-1264.322
2	Port 2: NDI 8700340  s/n:34802401	1028352088	1		0.749398	-0.1232531	-0.6374501	0.1298798	-18.58	-50.273	-1241.531	0.2452978	4	OK	-171.526	-41.288	-1199.72	OK	-220.796	-40.327	-1191.262	OK	-271.019	-15.993	-1192.665	Used OOV	-303.881	-62.16	-1169.61	Port 1: NDI 8700339  s/n:34801403	1028352088	1	OK	0.4556164	-0.1317447	-0.8058164	-0.3545659	189.739	213.221	-1230.836	0.1210815	4	OK	189.892	213.219	-1230.844	OK	178.646	261.951	-1231.565	OK	133.391	274.143	-1260.227	OK	139.999	209.527	-1264.309
2	Port 2: NDI 8700340  s/n:34802401	1028352091	1		0.7496696	-0.1252434	-0.6368853	0.129177	-18.645	-50.491	-1241.442	0.2342796	4	OK	-171.532	-40.836	-1199.563	OK	-220.804	-39.672	-1191.112	OK	-270.929	-15.136	-1192.524	Used OOV	-303.949	-61.143	-1169.348	Port 1: NDI 8700339  s/n:34801403	1028352091	1	OK	0.4556916	-0.1316829	-0.8058071	-0.3545133	189.631	212.977	-1230.811	0.1179394	4	OK	189.783	212.978	-1230.804	OK	178.533	261.702	-1231.551	OK	133.264	273.891	-1260.187	OK	139.888	209.272	-1264.289
2	Port 2: NDI 8700340  s/n:34802401	1028352094	1		0.7470068	-0.1252135	-0.639874	0.1298603	-18.918	-49.48	-1240.071	0.2398935	4	OK	-172.149	-40.178	-1199.382	OK	-221.478	-39.125	-1191.296	OK	-271.658	-14.729	-1193.121	Used OOV	-304.742	-60.79	-1170.17	Port 1: NDI 8700339  s/n:34801403	1028352094	1	OK	0.4558263	-0.1317231	-0.805616	-0.3547595	189.574	212.899	-1230.539	0.1157228	4	OK	189.727	212.896	-1230.516	OK	178.492	261.637	-1231.265	OK	133.211	273.837	-1259.849	OK	139.813	209.223	-1264.019
2	Port 2: NDI 8700340  s/n:34802401	1028352097	1		0.7457487	-0.1280005	-0.6409107	0.1292598	-19.33	-49.197	-1239.437	0.2364163	4	OK	-172.684	-39.161	-1199.395	OK	-222.045	-37.898	-1191.524	OK	-272.121	-13.292	-1193.631	Used OOV	-305.478	-59.169	-1170.647	Port 1: NDI 8700339  s/n:34801403	1028352097	1	OK	0.4559128	-0.1317474	-0.8056755	-0.3545042	189.561	212.899	-1230.322	0.11592	4	OK	189.715	212.896	-1230.305	OK	178.467	261.63	-1231.059	OK	133.174	273.808	-1259.658	OK	139.796	209.197	-1263.785
2	Port 2: NDI 8700340  s/n:34802401	1028352100	1		0.7447118	-0.1303148	-0.6419193	0.1279139	-19.179	-48.492	-1239.224	0.2400203	4	OK	-172.635	-37.708	-1199.784	OK	-222.018	-36.2	-1192.09	OK	-271.98	-11.392	-1194.434	Used OOV	-305.627	-57.069	-1171.502	Port 1: NDI 8700339  s/n:34801403	1028352100	1	OK	0.4559812	-0.1320814	-0.8057177	-0.3541959	189.651	212.912	-1230.236	0.1146326	4	OK	189.797	212.915	-1230.227	OK	178.56	261.647	-1231.008	OK	133.276	273.806	-1259.595	OK	139.874	209.186	-1263.673
2	Port 2: NDI 8700340  s/n:34802401	1028352103	1		0.74174	-0.1324142	-0.6452214	0.1264022	-18.838	-47.371	-1238.457	0.22112	4	OK	-172.634	-36.031	-1200.493	OK	-222.089	-34.358	-1193.333	OK	-271.93	-9.381	-1196.147	Used OOV	-305.949	-54.92	-1173.491	Port 1: NDI 8700339  s/n:34801403	1028352103	1	OK	0.4554629	-0.1324386	-0.8059475	-0.3542064	189.63	212.821	-1230.368	0.1141349	4	OK	189.78	212.822	-1230.354	OK	178.591	261.564	-1231.177	OK	133.324	273.747	-1259.812	OK	139.873	209.122	-1263.847
2	Port 2: NDI 8700340  s/n:34802401	1028352106	1		0.7402463	-0.1336894	-0.6469051	0.1252052	-17.968	-46.077	-1238.473	0.2356054	4	OK	-171.927	-34.323	-1201.308	OK	-221.405	-32.525	-1194.358	OK	-271.174	-7.415	-1197.463	Used OOV	-305.423	-52.858	-1174.966	Port 1: NDI 8700339  s/n:34801403	1028352106	1	OK	0.4559065	-0.1319941	-0.8058374	-0.3540521	189.607	212.981	-1230.527	0.1141446	4	OK	189.755	212.977	-1230.515	OK	178.506	261.716	-1231.317	OK	133.219	273.856	-1259.916	OK	139.842	209.235	-1263.978
2	Port 2: NDI 8700340  s/n:34802401	1028352109	1		0.7373884	-0.1375499	-0.6497716	0.1230253	-17.043	-45.566	-1237.74	0.2134887	4	OK	-171.262	-32.664	-1202.052	OK	-220.795	-30.519	-1195.634	OK	-270.367	-5.08	-1199.241	Used OOV	-305.121	-50.219	-1176.941	Port 1: NDI 8700339  s/n:34801403	1028352109	1	OK	0.4558719	-0.1320313	-0.8060724	-0.3535474	189.438	213.029	-1231.068	0.1132371	4	OK	189.583	213.029	-1231.06	OK	178.315	261.75	-1231.906	OK	133.025	273.851	-1260.529	OK	139.683	209.229	-1264.513
2	Port 2: NDI 8700340  s/n:34802401	1028352112	1		0.7369669	-0.1401601	-0.6496242	0.1233832	-16.611	-44.328	-1237.959	0.2054756	4	OK	-170.827	-30.834	-1202.454	OK	-220.359	-28.524	-1196.121	OK	-269.841	-2.956	-1199.864	Used OOV	-304.759	-47.911	-1177.386	Port 1: NDI 8700339  s/n:34801403	1028352112	1	OK	0.4558936	-0.131924	-0.8060522	-0.3536057	189.138	213.059	-1231.568	0.1132427	4	OK	189.282	213.06	-1231.563	OK	178.007	261.78	-1232.394	OK	132.722	273.876	-1261.018	OK	139.383	209.261	-1265.015
2	Port 2: NDI 8700340  s/n:34802401	1028352115	1		0.7347417	-0.141287	-0.6517361	0.1242283	-16.106	-42.738	-1237.05	0.2184394	4	OK	-170.552	-29.286	-1202.53	OK	-220.105	-27.005	-1196.465	OK	-269.605	-1.496	-1200.608	Used OOV	-304.613	-46.413	-1178.216	Port 1: NDI 8700339  s/n:34801403	1028352115	1	OK	0.4549748	-0.1326794	-0.80623	-0.3541008	189.198	212.627	-1231.962	0.112996	4	OK	189.345	212.625	-1231.95	OK	178.181	261.374	-1232.819	OK	132.953	273.563	-1261.496	OK	139.474	208.938	-1265.474
