Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	Port 1: NDI 8700449  s/n:3532DC02	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	1028377120	1		0.7096652	-0.0416857	-0.6768043	0.1912421	33.176	60.415	-1058.719	0.2295522	4	OK	-120.597	34.456	-1028.59	OK	-169.341	24.441	-1024.008	OK	-223.409	37.563	-1028.374	Used OOV	-247.039	-15.656	-1009.635	Port 1: NDI 8700449  s/n:3532DC02	1028377120	1	OK	0.5857408	-0.6855098	-0.3194886	-0.2913951	94.105	150.177	-1094.156	0.1624089	4	OK	94.032	150.113	-1094.111	OK	131.923	173.661	-1127.671	OK	96.252	238.215	-1106.904	OK	67.453	189.201	-1077.448
2	Port 2: NDI 8700340  s/n:34802401	1028377123	1		0.7096735	-0.0414141	-0.6769607	0.1907162	33.29	60.531	-1058.636	0.2406494	4	OK	-120.5	34.596	-1028.573	OK	-169.243	24.591	-1023.978	OK	-223.307	37.732	-1028.358	Used OOV	-246.962	-15.487	-1009.689	Port 1: NDI 8700449  s/n:3532DC02	1028377123	1	OK	0.5857506	-0.6855807	-0.3192446	-0.291476	94.245	150.253	-1094.053	0.1639798	4	OK	94.172	150.19	-1093.998	OK	132.06	173.728	-1127.575	OK	96.431	238.288	-1106.784	OK	67.622	189.288	-1077.348
2	Port 2: NDI 8700340  s/n:34802401	1028377126	1		0.7095207	-0.0414342	-0.6771029	0.1907753	33.384	60.588	-1058.514	0.2385503	4	OK	-120.414	34.634	-1028.51	OK	-169.162	24.623	-1023.939	OK	-223.225	37.762	-1028.341	Used OOV	-246.872	-15.463	-1009.677	Port 1: NDI 8700449  s/n:3532DC02	1028377126	1	OK	0.5857182	-0.6856963	-0.3189894	-0.2915486	94.375	150.307	-1093.937	0.1637168	4	OK	94.298	150.236	-1093.87	OK	132.191	173.767	-1127.472	OK	96.608	238.348	-1106.667	OK	67.778	189.35	-1077.233
2	Port 2: NDI 8700340  s/n:34802401	1028377129	1		0.7097893	-0.0411875	-0.6767794	0.1909772	33.294	60.569	-1058.54	0.2347126	4	OK	-120.466	34.541	-1028.387	OK	-169.202	24.506	-1023.785	OK	-223.271	37.621	-1028.126	Used OOV	-246.881	-15.622	-1009.436	Port 1: NDI 8700449  s/n:3532DC02	1028377129	1	OK	0.5858958	-0.6855179	-0.3188858	-0.2917245	94.297	150.249	-1093.971	0.1685139	4	OK	94.224	150.181	-1093.913	OK	132.135	173.715	-1127.495	OK	96.539	238.297	-1106.645	OK	67.691	189.292	-1077.233
2	Port 2: NDI 8700340  s/n:34802401	1028377132	1		0.7101558	-0.0410363	-0.6763571	0.1911437	33.152	60.6	-1058.614	0.2370457	4	OK	-120.559	34.537	-1028.282	OK	-169.292	24.489	-1023.612	OK	-223.376	37.583	-1027.897	Used OOV	-246.951	-15.657	-1009.174	Port 1: NDI 8700449  s/n:3532DC02	1028377132	1	OK	0.5857237	-0.6854022	-0.3193631	-0.2918198	94.067	150.215	-1094.165	0.1600769	4	OK	93.998	150.153	-1094.13	OK	131.912	173.682	-1127.643	OK	96.268	238.263	-1106.871	OK	67.435	189.251	-1077.452
2	Port 2: NDI 8700340  s/n:34802401	1028377135	1		0.7098023	-0.0405967	-0.6767606	0.1911223	33.251	60.872	-1058.432	0.2423448	4	OK	-120.473	34.673	-1028.26	OK	-169.196	24.586	-1023.63	OK	-223.279	37.644	-1027.962	Used OOV	-246.84	-15.631	-1009.3	Port 1: NDI 8700449  s/n:3532DC02	1028377135	1	OK	0.585557	-0.6856216	-0.319467	-0.291525	94.039	150.305	-1094.233	0.1625232	4	OK	93.967	150.244	-1094.193	OK	131.876	173.762	-1127.746	OK	96.218	238.341	-1107.006	OK	67.398	189.345	-1077.537
2	Port 2: NDI 8700340  s/n:34802401	1028377138	1		0.7094643	-0.0408071	-0.6771192	0.1910621	33.425	61.115	-1058.339	0.2405859	4	OK	-120.337	34.953	-1028.324	OK	-169.066	24.875	-1023.749	OK	-223.143	37.944	-1028.135	Used OOV	-246.736	-15.322	-1009.493	Port 1: NDI 8700449  s/n:3532DC02	1028377138	1	OK	0.5854393	-0.6858215	-0.3194888	-0.2912672	94.214	150.513	-1094.17	0.1654316	4	OK	94.144	150.449	-1094.125	OK	132.032	173.952	-1127.712	OK	96.373	238.541	-1106.988	OK	67.577	189.563	-1077.495
2	Port 2: NDI 8700340  s/n:34802401	1028377141	1		0.7089093	-0.0407061	-0.6776331	0.1913219	33.669	61.496	-1058.18	0.2350889	4	OK	-120.111	35.218	-1028.377	OK	-168.848	25.104	-1023.883	OK	-222.927	38.132	-1028.337	Used OOV	-246.499	-15.149	-1009.726	Port 1: NDI 8700449  s/n:3532DC02	1028377141	1	OK	0.5852665	-0.6863445	-0.3191851	-0.2907149	94.541	150.795	-1093.993	0.1693544	4	OK	94.468	150.732	-1093.938	OK	132.325	174.196	-1127.619	OK	96.704	238.806	-1106.901	OK	67.93	189.866	-1077.328
2	Port 2: NDI 8700340  s/n:34802401	1028377144	1		0.7079601	-0.0400707	-0.6785412	0.1917514	34.073	61.819	-1057.778	0.2407397	4	OK	-119.725	35.232	-1028.35	OK	-168.45	25.021	-1023.96	OK	-222.543	37.942	-1028.539	Used OOV	-246.064	-15.388	-1010.016	Port 1: NDI 8700449  s/n:3532DC02	1028377144	1	OK	0.5850115	-0.6868989	-0.3189113	-0.2902189	94.935	151.094	-1093.746	0.1579048	4	OK	94.863	151.034	-1093.702	OK	132.676	174.445	-1127.427	OK	97.112	239.096	-1106.767	OK	68.362	190.183	-1077.091
2	Port 2: NDI 8700340  s/n:34802401	1028377147	1		0.7087712	-0.0409819	-0.6776676	0.1916519	34.247	61.233	-1057.94	0.2357264	4	OK	-119.539	34.958	-1028.163	OK	-168.272	24.836	-1023.677	OK	-222.354	37.861	-1028.16	Used OOV	-245.927	-15.419	-1009.509	Port 1: NDI 8700449  s/n:3532DC02	1028377147	1	OK	0.5848197	-0.6872626	-0.3188882	-0.2897695	95.099	151.39	-1093.701	0.1646882	4	OK	95.025	151.326	-1093.655	OK	132.82	174.716	-1127.439	OK	97.251	239.376	-1106.807	OK	68.525	190.499	-1077.059
2	Port 2: NDI 8700340  s/n:34802401	1028377150	1		0.7091475	-0.0417839	-0.6771302	0.1919859	34.488	60.782	-1057.876	0.2343914	4	OK	-119.291	34.676	-1027.9	OK	-168.026	24.614	-1023.348	OK	-222.108	37.671	-1027.803	Used OOV	-245.693	-15.561	-1009.032	Port 1: NDI 8700449  s/n:3532DC02	1028377150	1	OK	0.5844886	-0.6876139	-0.3188966	-0.2895949	95.218	151.676	-1093.694	0.1615092	4	OK	95.142	151.61	-1093.644	OK	132.932	174.962	-1127.462	OK	97.386	239.656	-1106.887	OK	68.662	190.8	-1077.092
2	Port 2: NDI 8700340  s/n:34802401	1028377153	1		0.7095974	-0.0415129	-0.6765973	0.192261	34.532	60.751	-1057.854	0.23987	4	OK	-119.183	34.571	-1027.651	OK	-167.911	24.48	-1023.009	OK	-222.004	37.497	-1027.393	Used OOV	-245.541	-15.731	-1008.584	Port 1: NDI 8700449  s/n:3532DC02	1028377153	1	OK	0.584991	-0.6873588	-0.3177505	-0.2904447	95.434	151.597	-1093.501	0.1699246	4	OK	95.36	151.533	-1093.445	OK	133.192	174.875	-1127.241	OK	97.781	239.591	-1106.494	OK	68.96	190.749	-1076.807
2	Port 2: NDI 8700340  s/n:34802401	1028377156	1		0.7098481	-0.0424756	-0.6764797	0.1915374	34.631	60.096	-1057.625	0.2353362	4	OK	-119.143	34.303	-1027.396	OK	-167.896	24.33	-1022.756	OK	-221.964	37.479	-1027.133	Used OOV	-245.623	-15.682	-1008.301	Port 1: NDI 8700449  s/n:3532DC02	1028377156	1	OK	0.5849576	-0.6870048	-0.3182306	-0.2908234	95.116	151.392	-1093.73	0.1632645	4	OK	95.048	151.33	-1093.689	OK	132.896	174.693	-1127.395	OK	97.438	239.394	-1106.693	OK	68.615	190.53	-1077.058
2	Port 2: NDI 8700340  s/n:34802401	1028377159	1		0.709951	-0.041961	-0.6762666	0.1920218	34.622	60.03	-1057.516	0.2322082	4	OK	-119.098	34.033	-1027.178	OK	-167.836	23.993	-1022.516	OK	-221.919	37.081	-1026.851	Used OOV	-245.494	-16.123	-1007.999	Port 1: NDI 8700449  s/n:3532DC02	1028377159	1	OK	0.5850198	-0.6869723	-0.3182907	-0.2907095	94.995	151.329	-1093.835	0.1675535	4	OK	94.923	151.264	-1093.786	OK	132.78	174.645	-1127.52	OK	97.299	239.332	-1106.801	OK	68.465	190.456	-1077.147
2	Port 2: NDI 8700340  s/n:34802401	1028377162	1		0.7098485	-0.0409854	-0.6763879	0.1921841	34.577	60.51	-1057.347	0.2338981	4	OK	-119.098	34.229	-1027.03	OK	-167.82	24.113	-1022.371	OK	-221.925	37.11	-1026.689	Used OOV	-245.414	-16.15	-1007.901	Port 1: NDI 8700449  s/n:3532DC02	1028377162	1	OK	0.5851498	-0.6868467	-0.3179031	-0.2911683	95.093	151.271	-1093.698	0.1705353	4	OK	95.012	151.205	-1093.635	OK	132.902	174.585	-1127.359	OK	97.477	239.283	-1106.583	OK	68.613	190.404	-1076.999
2	Port 2: NDI 8700340  s/n:34802401	1028377165	1		0.7091546	-0.038195	-0.6764143	0.195204	34.197	62.546	-1057.269	0.2428519	4	OK	-119.246	34.995	-1026.905	OK	-167.875	24.465	-1022.203	OK	-222.089	37.014	-1026.522	Used OOV	-245.132	-16.433	-1007.718	Port 1: NDI 8700449  s/n:3532DC02	1028377165	1	OK	0.5853274	-0.6866366	-0.3180368	-0.2911607	95.003	151.099	-1093.7	0.1687367	4	OK	94.927	151.038	-1093.646	OK	132.808	174.437	-1127.344	OK	97.35	239.116	-1106.55	OK	68.498	190.216	-1076.983
2	Port 2: NDI 8700340  s/n:34802401	1028377168	1		0.7086103	-0.0373694	-0.6764919	0.1970624	34.071	63.905	-1057.103	0.2395552	4	OK	-119.273	35.786	-1026.757	OK	-167.856	25.068	-1022.067	OK	-222.127	37.396	-1026.417	Used OOV	-244.961	-16.114	-1007.55	Port 1: NDI 8700449  s/n:3532DC02	1028377168	1	OK	0.5852689	-0.6868959	-0.3180202	-0.2906845	95.144	151.095	-1093.592	0.1620113	4	OK	95.069	151.03	-1093.543	OK	132.907	174.431	-1127.271	OK	97.457	239.105	-1106.511	OK	68.642	190.211	-1076.876
